Date,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D
2023-12-15,240.36750030517578,233.39699981689452,239.9495643047774,66.32308655330668,4.09352837394249,3.061242391756555,251.03970996324725,240.36750030517578,229.69529064710431,97.57036370986772,77.241068773577
2023-12-18,241.25650024414062,233.22799987792968,241.10484406918476,56.071591169537456,4.5354856402257155,3.3560910414503877,252.73249836769912,241.25650024414062,229.78050212058213,78.19256755912782,88.24755944085292
2023-12-19,242.3375,233.17899963378906,242.63962094075794,64.00428553084416,5.240090450986827,3.732890923357676,255.5167041884897,242.3375,229.1582958115103,95.0229556390831,90.26196230269291
2023-12-20,242.6345001220703,232.84939971923828,243.06822841208083,56.69574866760558,4.928312416473489,3.9719752219808386,255.9725356847891,242.6345001220703,229.2964645593515,59.860944395601955,77.69215586460432
2023-12-21,243.64899978637695,232.67959991455078,244.15696856331124,63.31803304540572,5.215001327962909,4.220580443177253,257.37008591788623,243.64899978637695,229.92791365486767,83.1226408315365,79.33551362207386
2023-12-22,244.50349960327148,232.5529998779297,244.95535187024663,64.73756424787229,5.223831121009795,4.421230578743762,258.20326288294683,244.50349960327148,230.80373632359613,76.9279292269957,73.30383815137807
2023-12-26,245.52999877929688,232.6627996826172,246.0653169637053,65.29842975659531,5.495889942764478,4.636162451547905,259.64258638494243,245.52999877929688,231.41741117365132,89.79136836714075,83.280646141891
2023-12-27,246.26599884033203,232.8131997680664,247.52957272348635,67.6137260365256,6.0317107254627444,4.915272106330873,262.0734757609092,246.26599884033203,230.45852191975482,94.59307362127025,87.10412373846891
2023-12-28,246.71799850463867,232.7797994995117,248.06770795703824,57.79123937451625,5.723857730883481,5.076989231241394,262.78437342400576,246.71799850463867,230.65162358527158,67.6414577862985,84.00863325823651
2023-12-29,247.13799819946288,232.89579956054686,248.1069734589907,53.26117334762116,5.042504685346131,5.070092322062342,262.91021597221544,247.13799819946288,231.36578042671033,54.91468838898533,72.38307326551804
2024-01-02,247.61749801635742,233.46199951171874,248.13678533612924,56.46794928354224,4.446430503281249,4.945359958306123,262.9017924856492,247.61749801635742,232.33320354706564,54.75222549783183,59.10279055770524
2024-01-03,247.7609977722168,233.99119934082032,247.21423406109238,50.96852429459426,3.1334215110856007,4.582972268862019,262.61733287732966,247.7609977722168,232.9046626671039,27.75520660098461,45.807373495933945
2024-01-04,247.72149734497071,234.50819915771484,246.33002059582466,49.06310278023926,2.027520432660964,4.071881901621808,262.6828765909515,247.72149734497071,232.76011809898998,5.588287011438002,29.36523970341817
2024-01-05,247.62749786376952,234.92759918212892,245.48811439557127,38.93242295383808,1.1028693802088014,3.4780793973392066,262.8314637278279,247.62749786376952,232.42353199971117,8.567683279543143,13.970392297321936
2024-01-08,247.51799774169922,235.48819915771483,245.00829368630184,39.43661797869104,0.6019840349011645,2.902860324851598,262.90366652320023,247.51799774169922,232.1323289601982,18.3592492052611,10.838406498747434
2024-01-09,247.07399826049806,236.07219940185547,244.0513139746414,36.998787918116086,-0.23525565929173808,2.275237128022931,263.3909061967418,247.07399826049806,230.75709032425428,8.824455740074066,11.917129408292789
2024-01-10,246.78399810791015,236.60499938964844,243.0883319238571,31.140636488283192,-0.9698995706728795,1.626209788283769,263.8391991750574,246.78399810791015,229.72879704076288,7.830993638115216,11.67156619448348
2024-01-11,246.29449844360352,237.20219940185547,241.57706233308056,32.93351785416874,-2.0704907716039713,0.8868696763062209,265.01181986536125,246.29449844360352,227.5771770218458,4.652931713097995,7.102793697095778
2024-01-12,245.2744987487793,237.56319946289062,239.4163896718013,19.989887484115584,-3.5736835591799547,-0.0052409707910141545,267.494648750992,245.2744987487793,223.05434874656663,3.6265216647404452,5.370149005317905
2024-01-16,243.71749877929688,237.84819946289062,237.55863862325924,22.058580266222563,-4.62930510538439,-0.9300537977096893,268.4551017224514,243.71749877929688,218.97989583614236,14.598695381040205,7.6260495862929005
2024-01-17,241.81999893188475,237.78899963378908,235.46257809264006,15.013653077903726,-5.751409726109557,-1.8943249833896632,269.090411350482,241.81999893188475,214.54958651328752,6.6641714108602885,8.296462818880332
2024-01-18,239.80999908447265,237.62739959716797,233.21661873932314,6.9193262999285565,-6.857771778888605,-2.8870143424894517,269.6967738940677,239.80999908447265,209.9232242748776,5.568362162856882,8.943742984919144
2024-01-19,237.55849914550782,237.48579956054687,231.21408385380724,8.6544185866112,-7.62169925968081,-3.8339513259277234,268.6818960516555,237.55849914550782,206.43510223936016,9.720773479247077,7.3177690176547685
2024-01-22,235.6414993286133,237.2181997680664,229.07940949170728,8.889339268222727,-8.403788271331194,-4.747918715008418,268.9278515210656,235.6414993286133,202.35514713616098,5.624719919099295,6.971285187067771
2024-01-23,233.3734992980957,236.95879974365235,227.18041805341596,9.53850786956518,-8.893644190583615,-5.577063810123458,267.42213593361447,233.3734992980957,199.32486266257695,7.282405383671028,7.542632927339153
2024-01-24,231.13799972534179,236.91579986572265,225.33752127033395,11.60981093322772,-9.280583599907573,-6.317767768080281,265.75435568231114,231.13799972534179,196.52164376837243,4.2821791716441036,5.729768158138161
2024-01-25,227.4390007019043,236.2754000854492,221.27013875723668,7.171610885553761,-11.488235787130463,-7.351861371890317,266.16187333935125,227.4390007019043,188.7161280644573,4.200044487136136,5.254876347483775
2024-01-26,223.52950057983398,235.4661999511719,217.6491731613094,8.109340084222623,-13.037499448260178,-8.48898898716429,263.56462975885586,223.52950057983398,183.49437140081213,5.213273924054674,4.56516586094499
2024-01-29,220.417000579834,234.5365997314453,215.1044893055448,14.353569505609329,-13.49008552830503,-9.489208295392439,260.4253630185045,220.417000579834,180.40863814116344,18.454997330359983,9.28943858051695
2024-01-30,217.57250061035157,233.5115997314453,212.86501378481583,16.447456801187855,-13.63829272876103,-10.319025182066158,257.268235325521,217.57250061035157,177.8767658951821,20.797255179566047,14.821842144660254
2024-01-31,214.51600036621093,232.58559967041015,210.42929754684604,15.653057634013251,-13.94200752836096,-11.043621651325118,253.62027985635723,214.51600036621093,175.41172087606463,14.212692002198082,17.821648170708055
2024-02-01,212.0365005493164,231.67679962158203,208.37507879098942,19.439130044718794,-13.895834692743904,-11.614064259608877,251.03953132993476,212.0365005493164,173.03346976869804,19.434636238951075,18.148194473571753
2024-02-02,209.5355010986328,230.7229995727539,206.42602401681035,22.029612195791984,-13.777085536006354,-12.046668514888374,247.95804903011793,209.5355010986328,171.11295316714768,18.07507407169268,17.2408007709473
